Grid Points,_,_,_
0.19999999999999996,-0.59999999999999998,-1.0,0.55835442785286404
0.33333333333333326,-0.59999999999999998,-1.0,0.59345577511295755
0.46666666666666656,-0.59999999999999998,-1.0,0.65435113087890251
0.60000000000000009,-0.59999999999999998,-1.0,0.73465407063844135
0.73333333333333339,-0.59999999999999998,-1.0,0.82874203470339325
0.8666666666666667,-0.59999999999999998,-1.0,0.90642229690782261
1.0,-0.59999999999999998,-1.0,0.99542388112836955
-1.0,-0.46666666666666667,-1.0,1.0614760925864781
-0.8666666666666667,-0.46666666666666667,-1.0,0.97758500160588635
-0.73333333333333339,-0.46666666666666667,-1.0,0.89369734560304148
-0.59999999999999998,-0.46666666666666667,-1.0,0.80981419205400529
-0.46666666666666667,-0.46666666666666667,-1.0,0.72593710175693427
-0.33333333333333337,-0.46666666666666667,-1.0,0.64206845094853526
-0.19999999999999996,-0.46666666666666667,-1.0,0.5601292543402554
-0.066666666666666652,-0.46666666666666667,-1.0,0.49750196463242807
0.066666666666666652,-0.46666666666666667,-1.0,0.46564705906301673
0.19999999999999996,-0.46666666666666667,-1.0,0.47085211900394286
0.33333333333333326,-0.46666666666666667,-1.0,0.51198809349683627
0.46666666666666656,-0.46666666666666667,-1.0,0.58147867832802169
0.60000000000000009,-0.46666666666666667,-1.0,0.67056592097513901
0.73333333333333339,-0.46666666666666667,-1.0,0.76389862791732854
0.8666666666666667,-0.46666666666666667,-1.0,0.84690783498999178
1.0,-0.46666666666666667,-1.0,0.94155201861418558
-1.0,-0.33333333333333337,-1.0,0.99920310800352874
-0.8666666666666667,-0.33333333333333337,-1.0,0.91596042375896436
-0.73333333333333339,-0.33333333333333337,-1.0,0.83285155621065454
-0.59999999999999998,-0.33333333333333337,-1.0,0.74992099678121693
-0.46666666666666667,-0.33333333333333337,-1.0,0.6672352344452267
-0.33333333333333337,-0.33333333333333337,-1.0,0.58489809770423862
-0.19999999999999996,-0.33333333333333337,-1.0,0.50308078998498362
-0.066666666666666652,-0.33333333333333337,-1.0,0.43237780767075717
0.066666666666666652,-0.33333333333333337,-1.0,0.395309432428675
0.19999999999999996,-0.33333333333333337,-1.0,0.40142755476368053
